2025-05-11T22:40:07.508857,2025-05-11T22:40:07.509040,LAPTOP-S43OU9B2,esclavo,videos,0.0002
2025-05-11T22:40:05.454242,2025-05-11T22:40:07.524661,LAPTOP-S43OU9B2,maestro,tipo_doc,2.0704
2025-05-11T22:40:23.527710,2025-05-11T22:40:23.527888,LAPTOP-S43OU9B2,esclavo,libros,0.0002
2025-05-11T22:40:25.581000,2025-05-11T22:40:25.581225,LAPTOP-S43OU9B2,esclavo,revistas,0.0002
2025-05-11T22:40:27.631091,2025-05-11T22:40:27.631393,LAPTOP-S43OU9B2,esclavo,tesis,0.0003
2025-05-11T22:40:29.662188,2025-05-11T22:40:29.662269,LAPTOP-S43OU9B2,esclavo,videos,0.0001
2025-05-11T22:40:21.481989,2025-05-11T22:40:29.669785,LAPTOP-S43OU9B2,maestro,tipo_doc,8.1878
2025-05-11T22:40:57.042357,2025-05-11T22:40:57.042392,LAPTOP-S43OU9B2,esclavo,libros,0.0000
2025-05-11T22:40:59.094542,2025-05-11T22:40:59.094607,LAPTOP-S43OU9B2,esclavo,revistas,0.0001
2025-05-11T22:41:01.121309,2025-05-11T22:41:01.121385,LAPTOP-S43OU9B2,esclavo,tesis,0.0001
2025-05-11T22:41:03.168991,2025-05-11T22:41:03.169027,LAPTOP-S43OU9B2,esclavo,videos,0.0000
2025-05-11T22:40:54.999413,2025-05-11T22:41:03.174118,LAPTOP-S43OU9B2,maestro,tipo_doc,8.1747
